source_group	source_file	dataset_hint	has_modified_declayer_message_return	has_forward_return_log_probs_decoder_messages_h_v	has_forward_return_log_probs_decoder_messages_only	has_return_neighbor_info_def	has_center_forward_tuple_unpack	has_decoder_message_topk	has_neighbor_log_prob_fields	has_neighbor_message_vector_fields	has_neighbor_embedding_fields	v3_tensor_field_assignment_count	has_all_v3_tensor_field_assignments	probable_role
git_exported_notebook_source	colab_notebooks_inventory_analysis/git_notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt	Ssym	True	True	False	True	True	True	True	True	True	16	True	primary V3 tensor-extraction candidate
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting.ipynb.py.txt	S_2648_or_general_training_notebook	False	False	False	False	False	False	False	False	False	1	False	NA
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V2.ipynb.py.txt	S_2648_or_general_training_notebook	False	False	False	False	False	False	False	False	False	1	False	NA
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V3.ipynb.py.txt	S_2648_or_general_training_notebook	False	False	False	True	False	False	False	False	False	1	False	NA
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V4.ipynb.py.txt	S_2648_or_general_training_notebook	True	False	True	True	False	True	False	False	False	5	False	NA
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V5.ipynb.py.txt	S_2648_or_general_training_notebook	True	False	True	True	False	True	True	False	False	12	False	earlier message/log-probability extraction candidate
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6.ipynb.py.txt	S_2648_or_general_training_notebook	True	False	True	True	False	True	True	True	False	14	False	earlier message/log-probability extraction candidate
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2.ipynb.py.txt	S_2648_or_general_training_notebook	True	True	False	True	True	True	True	True	True	16	True	primary V3 tensor-extraction candidate
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V6_V2_debug.ipynb.py.txt	S_2648_or_general_training_notebook	True	True	False	True	True	True	True	True	True	16	True	primary V3 tensor-extraction candidate
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/ProteinMPNNTesting_V7.ipynb.py.txt	S_2648_or_general_training_notebook	False	False	False	False	False	False	True	False	False	6	False	NA
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V3.ipynb.py.txt	S_669	False	False	False	False	False	False	False	False	False	1	False	NA
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V6.ipynb.py.txt	S_669	True	False	True	True	False	True	True	True	False	14	False	earlier message/log-probability extraction candidate
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/S669_ProteinMPNNTesting_V6_V2.ipynb.py.txt	S_669	True	True	False	True	True	True	True	True	True	16	True	primary V3 tensor-extraction candidate
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V3.ipynb.py.txt	Ssym	False	False	False	False	False	False	False	False	False	1	False	NA
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V6.ipynb.py.txt	Ssym	True	False	True	True	False	True	True	True	False	14	False	earlier message/log-probability extraction candidate
drive_exported_notebook_source	colab_notebooks_inventory_analysis/notebook_sources/Ssym_ProteinMPNNTesting_V6_V2.ipynb.py.txt	Ssym	True	True	False	True	True	True	True	True	True	16	True	primary V3 tensor-extraction candidate
old_fork_python_source	source_repos/SajidAhmeduiu_ProteinMPNN/ca_proteinmpnn/protein_mpnn_run.py	NA	False	False	False	False	False	False	False	False	False	0	False	NA
old_fork_python_source	source_repos/SajidAhmeduiu_ProteinMPNN/ca_proteinmpnn/protein_mpnn_utils.py	NA	False	False	False	False	False	False	False	False	False	0	False	NA
old_fork_python_source	source_repos/SajidAhmeduiu_ProteinMPNN/vanilla_proteinmpnn/protein_mpnn_run.py	NA	False	False	False	False	False	False	False	False	False	0	False	NA
old_fork_python_source	source_repos/SajidAhmeduiu_ProteinMPNN/vanilla_proteinmpnn/protein_mpnn_utils.py	NA	False	False	False	True	False	False	False	False	False	0	False	old fork source contains neighbor-info history, not complete V6_V2 tensor returns
